ElapsedSec,TPS,TPSAccept,TPSSuccess,RecvPerSec,SendPerSec,SendDropSec
Total Time : 60.016 	 TPS : 83.245 	 TPS_Accept : 82.378 	 TPS_Success : 82.378 	 RecvSec : 2054.795 	 SendSec : 1079110.922 	 SendDropSec : 7305634.117
Total Time : 1620.304 	 TPS : 42.047 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4056.343 	 SendSec : 307310.519 	 SendDropSec : 19971746.072
Total Time : 1680.313 	 TPS : 40.961 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4137.120 	 SendSec : 310982.708 	 SendDropSec : 20371818.394
Total Time : 1740.326 	 TPS : 42.790 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3830.428 	 SendSec : 290851.823 	 SendDropSec : 18858857.487
Total Time : 1800.343 	 TPS : 42.605 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3891.808 	 SendSec : 288957.646 	 SendDropSec : 19167529.625
Total Time : 1860.344 	 TPS : 41.833 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3972.927 	 SendSec : 299825.614 	 SendDropSec : 19562187.902
Total Time : 1920.365 	 TPS : 42.202 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3927.097 	 SendSec : 301227.346 	 SendDropSec : 19331747.203
Total Time : 1980.379 	 TPS : 42.340 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3955.761 	 SendSec : 301992.031 	 SendDropSec : 19474272.531
Total Time : 2040.394 	 TPS : 42.239 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3997.185 	 SendSec : 310276.408 	 SendDropSec : 19673095.249
Total Time : 2100.415 	 TPS : 42.085 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4019.459 	 SendSec : 310445.816 	 SendDropSec : 19784292.405
Total Time : 2160.416 	 TPS : 42.049 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4089.738 	 SendSec : 310278.479 	 SendDropSec : 20135708.551
Total Time : 2220.421 	 TPS : 41.930 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4141.806 	 SendSec : 315919.084 	 SendDropSec : 20390339.444
Total Time : 2280.442 	 TPS : 42.768 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3797.335 	 SendSec : 291519.561 	 SendDropSec : 18692759.220
Total Time : 2340.446 	 TPS : 41.980 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4131.058 	 SendSec : 310130.732 	 SendDropSec : 20342419.467
Total Time : 2400.454 	 TPS : 42.311 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4060.244 	 SendSec : 305627.880 	 SendDropSec : 19992942.712
Total Time : 2460.470 	 TPS : 42.788 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3858.468 	 SendSec : 281063.159 	 SendDropSec : 19008814.723
Total Time : 2520.494 	 TPS : 41.300 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4322.416 	 SendSec : 331515.808 	 SendDropSec : 21277669.679
Total Time : 2580.511 	 TPS : 42.322 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3954.692 	 SendSec : 296598.802 	 SendDropSec : 19474289.030
Total Time : 2640.514 	 TPS : 42.148 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4131.099 	 SendSec : 305939.217 	 SendDropSec : 20346790.394
Total Time : 2700.539 	 TPS : 42.099 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4234.298 	 SendSec : 321511.254 	 SendDropSec : 20847154.361
Total Time : 2760.551 	 TPS : 42.559 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3938.748 	 SendSec : 294927.194 	 SendDropSec : 19396285.740
Total Time : 2820.571 	 TPS : 41.986 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4040.568 	 SendSec : 313505.712 	 SendDropSec : 19886733.338
Total Time : 2880.596 	 TPS : 42.132 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3996.000 	 SendSec : 307050.371 	 SendDropSec : 19670389.905
Total Time : 2940.614 	 TPS : 42.238 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4115.407 	 SendSec : 308795.572 	 SendDropSec : 20265533.317
Total Time : 3000.617 	 TPS : 42.431 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4011.859 	 SendSec : 305157.290 	 SendDropSec : 19751553.098
Total Time : 3060.618 	 TPS : 41.932 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4089.002 	 SendSec : 307966.509 	 SendDropSec : 20134370.961
Total Time : 3120.635 	 TPS : 42.421 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3893.277 	 SendSec : 307045.921 	 SendDropSec : 19156898.403
Total Time : 3180.655 	 TPS : 41.703 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4236.635 	 SendSec : 329723.086 	 SendDropSec : 20850668.056
Total Time : 3240.661 	 TPS : 42.496 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3888.392 	 SendSec : 297890.818 	 SendDropSec : 19141571.670
Total Time : 3300.668 	 TPS : 42.245 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3970.427 	 SendSec : 297852.100 	 SendDropSec : 19551709.969
Total Time : 3360.687 	 TPS : 41.837 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4157.860 	 SendSec : 317527.294 	 SendDropSec : 20469023.658
Total Time : 3420.692 	 TPS : 42.480 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4051.214 	 SendSec : 303975.456 	 SendDropSec : 19949458.372
Total Time : 3480.709 	 TPS : 41.921 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4282.192 	 SendSec : 320292.304 	 SendDropSec : 21087822.114
Total Time : 3540.712 	 TPS : 42.848 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3966.794 	 SendSec : 294882.073 	 SendDropSec : 19536533.924
Total Time : 3600.724 	 TPS : 42.075 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4049.866 	 SendSec : 293055.164 	 SendDropSec : 19953599.061
Total Time : 3660.736 	 TPS : 42.042 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4138.084 	 SendSec : 314636.907 	 SendDropSec : 20373085.435
Total Time : 3720.752 	 TPS : 42.705 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4125.262 	 SendSec : 314711.191 	 SendDropSec : 20308936.337
Total Time : 3780.757 	 TPS : 42.263 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4153.829 	 SendSec : 315742.007 	 SendDropSec : 20450706.280
Total Time : 3840.766 	 TPS : 42.277 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4026.814 	 SendSec : 299340.774 	 SendDropSec : 19832105.676
Total Time : 3900.767 	 TPS : 42.282 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3855.686 	 SendSec : 296381.918 	 SendDropSec : 18979638.633
Total Time : 3960.784 	 TPS : 42.254 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3932.181 	 SendSec : 301173.637 	 SendDropSec : 19357222.887
Total Time : 4020.799 	 TPS : 41.623 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4216.314 	 SendSec : 319643.238 	 SendDropSec : 20759152.522
Total Time : 4080.808 	 TPS : 42.994 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4080.301 	 SendSec : 315598.579 	 SendDropSec : 20083330.631
Total Time : 4140.828 	 TPS : 41.469 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4205.643 	 SendSec : 322248.722 	 SendDropSec : 20703224.885
Total Time : 4200.831 	 TPS : 41.682 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4282.099 	 SendSec : 326856.159 	 SendDropSec : 21080793.573
Total Time : 4260.832 	 TPS : 42.315 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4160.528 	 SendSec : 319954.675 	 SendDropSec : 20479994.594
Total Time : 4320.856 	 TPS : 42.667 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3954.414 	 SendSec : 297886.103 	 SendDropSec : 19471688.081
Total Time : 4380.872 	 TPS : 41.922 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4281.666 	 SendSec : 328487.596 	 SendDropSec : 21077025.311
Total Time : 4440.892 	 TPS : 42.735 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4008.590 	 SendSec : 305148.431 	 SendDropSec : 19735231.283
Total Time : 4500.906 	 TPS : 42.007 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4135.791 	 SendSec : 320014.904 	 SendDropSec : 20356276.993
Total Time : 4560.909 	 TPS : 42.981 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3840.708 	 SendSec : 289771.791 	 SendDropSec : 18911372.298
Total Time : 4620.923 	 TPS : 42.840 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3916.470 	 SendSec : 300970.639 	 SendDropSec : 19278940.334
Total Time : 4680.926 	 TPS : 42.264 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4047.682 	 SendSec : 305934.772 	 SendDropSec : 19929882.143
Total Time : 4740.955 	 TPS : 41.746 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4203.058 	 SendSec : 315548.312 	 SendDropSec : 20696978.087
Total Time : 4800.961 	 TPS : 42.112 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4063.419 	 SendSec : 314363.678 	 SendDropSec : 20000139.919
Total Time : 4860.988 	 TPS : 42.897 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3842.722 	 SendSec : 288947.534 	 SendDropSec : 18922247.240
Total Time : 4921.000 	 TPS : 41.909 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4058.827 	 SendSec : 310696.070 	 SendDropSec : 19980842.295
Total Time : 4981.004 	 TPS : 41.831 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4153.575 	 SendSec : 305705.185 	 SendDropSec : 20459426.237
Total Time : 5041.025 	 TPS : 42.518 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4072.195 	 SendSec : 302164.096 	 SendDropSec : 20056182.188
Total Time : 5101.039 	 TPS : 42.624 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3958.520 	 SendSec : 301496.398 	 SendDropSec : 19488621.870
Total Time : 5161.059 	 TPS : 42.203 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4144.561 	 SendSec : 314762.130 	 SendDropSec : 20405369.823
Total Time : 5221.087 	 TPS : 41.763 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4277.583 	 SendSec : 331173.974 	 SendDropSec : 21053978.882
Total Time : 5281.101 	 TPS : 41.407 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4143.797 	 SendSec : 316923.628 	 SendDropSec : 20399368.105
Total Time : 5341.117 	 TPS : 42.472 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4159.446 	 SendSec : 308566.445 	 SendDropSec : 20485952.768
Total Time : 5401.136 	 TPS : 41.120 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4183.047 	 SendSec : 320211.029 	 SendDropSec : 20592292.430
Total Time : 5461.139 	 TPS : 41.732 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3788.657 	 SendSec : 277778.911 	 SendDropSec : 18663112.736
Total Time : 5521.145 	 TPS : 40.929 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4101.580 	 SendSec : 321661.831 	 SendDropSec : 20183595.669
Total Time : 5581.156 	 TPS : 40.876 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4040.170 	 SendSec : 312903.711 	 SendDropSec : 19885342.863
Total Time : 5641.175 	 TPS : 41.137 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3933.017 	 SendSec : 308185.683 	 SendDropSec : 19354456.943
Total Time : 5701.201 	 TPS : 41.466 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3832.741 	 SendSec : 292327.224 	 SendDropSec : 18869014.466
Total Time : 5761.222 	 TPS : 40.536 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4298.021 	 SendSec : 327836.538 	 SendDropSec : 21159422.536
Total Time : 5821.242 	 TPS : 41.002 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4137.335 	 SendSec : 311448.986 	 SendDropSec : 20372544.279
Total Time : 5881.253 	 TPS : 41.443 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3876.255 	 SendSec : 295662.239 	 SendDropSec : 19083194.850
Total Time : 5941.264 	 TPS : 41.375 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3898.758 	 SendSec : 297185.550 	 SendDropSec : 19194140.151
Total Time : 6001.283 	 TPS : 40.404 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4002.633 	 SendSec : 308018.234 	 SendDropSec : 19702588.842
Total Time : 6061.295 	 TPS : 43.708 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3806.541 	 SendSec : 290007.851 	 SendDropSec : 18740411.260
Total Time : 6121.299 	 TPS : 45.031 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4150.473 	 SendSec : 311804.185 	 SendDropSec : 20437995.412
Total Time : 6181.307 	 TPS : 46.227 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3941.411 	 SendSec : 295777.104 	 SendDropSec : 19408933.889
Total Time : 6241.314 	 TPS : 45.662 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4195.128 	 SendSec : 316495.165 	 SendDropSec : 20656543.178
Total Time : 6301.314 	 TPS : 45.450 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4067.379 	 SendSec : 317493.436 	 SendDropSec : 20016985.281
Total Time : 6361.315 	 TPS : 45.299 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3914.700 	 SendSec : 293876.166 	 SendDropSec : 19277243.940
Total Time : 6421.328 	 TPS : 44.540 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3968.771 	 SendSec : 293192.640 	 SendDropSec : 19548198.175
Total Time : 6481.354 	 TPS : 44.748 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4015.773 	 SendSec : 308777.996 	 SendDropSec : 19767637.436
Total Time : 6541.382 	 TPS : 44.346 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4077.328 	 SendSec : 301756.352 	 SendDropSec : 20082339.853
Total Time : 6601.395 	 TPS : 44.241 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4072.591 	 SendSec : 308452.479 	 SendDropSec : 20051987.766
Total Time : 6661.415 	 TPS : 45.968 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3940.982 	 SendSec : 308747.451 	 SendDropSec : 19393868.348
Total Time : 6721.428 	 TPS : 43.341 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4131.422 	 SendSec : 318514.559 	 SendDropSec : 20336033.467
Total Time : 6781.442 	 TPS : 45.056 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4021.238 	 SendSec : 306206.194 	 SendDropSec : 19797539.343
Total Time : 6841.454 	 TPS : 46.391 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3765.474 	 SendSec : 286866.022 	 SendDropSec : 18538357.609
Total Time : 6901.477 	 TPS : 44.449 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3960.247 	 SendSec : 298241.767 	 SendDropSec : 19500609.478
Total Time : 6961.491 	 TPS : 45.457 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3837.615 	 SendSec : 281881.899 	 SendDropSec : 18903873.481
Total Time : 7021.502 	 TPS : 46.008 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4054.519 	 SendSec : 310534.878 	 SendDropSec : 19959642.120
Total Time : 7081.506 	 TPS : 43.897 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4315.466 	 SendSec : 325142.367 	 SendDropSec : 21249435.700
Total Time : 7141.508 	 TPS : 45.782 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3971.875 	 SendSec : 304181.797 	 SendDropSec : 19552800.895
Total Time : 7201.526 	 TPS : 45.453 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3915.209 	 SendSec : 294338.351 	 SendDropSec : 19279363.253
Total Time : 7261.547 	 TPS : 45.017 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4028.609 	 SendSec : 301889.545 	 SendDropSec : 19838696.083
Total Time : 7321.562 	 TPS : 45.689 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3725.862 	 SendSec : 283265.620 	 SendDropSec : 18343919.314
Total Time : 7381.576 	 TPS : 45.023 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4018.040 	 SendSec : 305344.495 	 SendDropSec : 19782429.881
Total Time : 7441.592 	 TPS : 45.521 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4221.397 	 SendSec : 319650.203 	 SendDropSec : 20784735.259
Total Time : 7501.596 	 TPS : 45.830 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3859.613 	 SendSec : 296432.560 	 SendDropSec : 18999360.734
Total Time : 7561.600 	 TPS : 45.263 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3659.156 	 SendSec : 280006.497 	 SendDropSec : 18013697.272
Total Time : 7621.617 	 TPS : 40.855 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3840.849 	 SendSec : 292455.514 	 SendDropSec : 18909403.751
Total Time : 7681.638 	 TPS : 42.118 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3912.548 	 SendSec : 289470.272 	 SendDropSec : 19270823.141
Total Time : 7741.668 	 TPS : 41.996 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4112.571 	 SendSec : 308175.659 	 SendDropSec : 20252055.066
Total Time : 7801.679 	 TPS : 44.992 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3909.105 	 SendSec : 285995.074 	 SendDropSec : 19257125.129
Total Time : 7861.708 	 TPS : 45.777 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4010.644 	 SendSec : 301208.290 	 SendDropSec : 19749606.004
Total Time : 7921.714 	 TPS : 45.979 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3853.449 	 SendSec : 295800.678 	 SendDropSec : 18969213.499
Total Time : 7981.719 	 TPS : 45.780 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4049.397 	 SendSec : 304680.516 	 SendDropSec : 19939885.975
Total Time : 8041.740 	 TPS : 45.551 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4243.896 	 SendSec : 324581.743 	 SendDropSec : 20892298.075
Total Time : 8101.751 	 TPS : 46.124 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3950.581 	 SendSec : 294183.256 	 SendDropSec : 19456384.511
Total Time : 8161.757 	 TPS : 45.029 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3983.555 	 SendSec : 300610.111 	 SendDropSec : 19614767.830
Total Time : 8221.771 	 TPS : 44.890 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3802.672 	 SendSec : 284090.233 	 SendDropSec : 18727013.166
Total Time : 8281.786 	 TPS : 45.272 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3832.278 	 SendSec : 287888.913 	 SendDropSec : 18871235.629
Total Time : 8341.787 	 TPS : 44.383 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4307.400 	 SendSec : 324780.770 	 SendDropSec : 21209498.363
Total Time : 8401.798 	 TPS : 44.308 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3952.200 	 SendSec : 294111.921 	 SendDropSec : 19464468.101
Total Time : 8461.812 	 TPS : 45.039 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4076.847 	 SendSec : 309159.381 	 SendDropSec : 20072595.238
Total Time : 8521.820 	 TPS : 45.261 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3804.245 	 SendSec : 279907.761 	 SendDropSec : 18739053.166
Total Time : 8581.833 	 TPS : 44.557 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4309.403 	 SendSec : 327754.775 	 SendDropSec : 21216573.875
Total Time : 8641.836 	 TPS : 46.097 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3992.331 	 SendSec : 301759.745 	 SendDropSec : 19657541.744
Total Time : 8701.844 	 TPS : 45.678 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3657.227 	 SendSec : 274982.230 	 SendDropSec : 18009053.165
Total Time : 8761.845 	 TPS : 45.282 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3887.339 	 SendSec : 292621.646 	 SendDropSec : 19141755.268
Total Time : 8821.867 	 TPS : 46.683 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3717.260 	 SendSec : 282443.174 	 SendDropSec : 18301771.290
